stats_g/mean,stats_g/std,train/success_rate,test/success_rate,epoch,stats_o/mean,stats_o/std,test/mean_Q,train/episode,test/episode
0.16056687,0.71114254,0.42,0.5458333333333333,0,0.39371264,0.027805978,-8.222669,50.0,40.0
0.23866464,0.73558277,0.49499999999999994,0.6124999999999999,1,0.3941059,0.021385612,-8.247356,100.0,80.0
0.2799206,0.74531984,0.5422222222222223,0.7374999999999999,2,0.3942372,0.018534284,-8.269077,150.0,120.0
0.3098127,0.75035685,0.5791666666666666,0.6916666666666668,3,0.39430293,0.016839856,-8.310084,200.0,160.0
0.3275087,0.75574666,0.6608333333333334,0.7833333333333333,4,0.39434233,0.015684022,-8.316593,250.0,200.0
0.34552363,0.7567396,0.7016666666666667,0.5499999999999999,5,0.39436865,0.014903284,-8.326909,300.0,240.0
0.3385192,0.75501007,0.6900000000000001,0.5833333333333334,6,0.39438745,0.014296663,-8.332182,350.0,280.0
0.33261034,0.75452334,0.6549999999999999,0.5958333333333333,7,0.39440152,0.013835542,-8.361724,400.0,320.0
0.32903787,0.755039,0.6183333333333333,0.6416666666666666,8,0.39441243,0.0134729,-8.389254,450.0,360.0
0.3303134,0.7550958,0.5924999999999999,0.6041666666666666,9,0.3944211,0.013169449,-8.313146,500.0,400.0
0.328602,0.7553702,0.5966666666666667,0.6333333333333333,10,0.39442825,0.012908555,-8.39037,550.0,440.0
0.32770166,0.75506234,0.6108333333333333,0.5666666666666668,11,0.3944342,0.012677096,-8.297618,600.0,480.0
0.32509157,0.7551594,0.6024999999999999,0.6208333333333333,12,0.39443925,0.012473375,-8.359301,650.0,520.0
0.32543412,0.7556083,0.6083333333333333,0.6124999999999999,13,0.3944436,0.012292505,-8.352144,700.0,560.0
0.32581866,0.755908,0.615,0.6208333333333335,14,0.39444736,0.01212963,-8.372347,750.0,600.0
0.32363594,0.7562094,0.6108333333333333,0.5958333333333333,15,0.39445058,0.011980794,-8.380305,800.0,640.0
0.322884,0.75614375,0.62,0.7000000000000001,16,0.39445353,0.011846304,-8.35484,850.0,680.0
0.32642123,0.75574785,0.6241666666666666,0.6541666666666667,17,0.39445606,0.011722084,-8.375453,900.0,720.0
0.3283683,0.7551473,0.6224999999999999,0.6208333333333332,18,0.3944584,0.011606865,-8.323857,950.0,760.0
0.32868418,0.75464654,0.6308333333333334,0.5833333333333334,19,0.39446044,0.011501994,-8.341213,1000.0,800.0
0.32862505,0.7542246,0.6191666666666666,0.5958333333333333,20,0.39446223,0.011414945,-8.319155,1050.0,840.0
0.32925132,0.75381106,0.6041666666666666,0.5916666666666667,21,0.39446366,0.011355758,-8.365465,1100.0,880.0
0.3293148,0.7539868,0.605,0.5583333333333333,22,0.39446485,0.011306216,-8.340238,1150.0,920.0
0.32906437,0.7538373,0.5966666666666667,0.6583333333333333,23,0.39446595,0.011263269,-8.350234,1200.0,960.0
0.32892948,0.75390244,0.605,0.6791666666666667,24,0.39446703,0.011223021,-8.337814,1250.0,1000.0
0.32871863,0.7540204,0.6208333333333333,0.5625,25,0.39446798,0.011184235,-8.393199,1300.0,1040.0
