stats_o/mean,test/success_rate,train/success_rate,train/episode,stats_g/std,stats_o/std,test/episode,epoch,stats_g/mean,test/mean_Q
0.3943124,0.7208333333333332,0.7476190476190476,70.0,0.3936976,0.01656379,80.0,0,-0.15509611,-8.327874
0.3944063,0.75625,0.7452380952380953,140.0,0.39373294,0.013654501,160.0,1,-0.15513307,-8.327928
0.39443743,0.7229166666666668,0.7358333333333333,210.0,0.3939047,0.012518231,240.0,2,-0.15531236,-8.330702
