stats_g/std,test/success_rate,train/episode,train/success_rate,stats_g/mean,epoch,test/mean_Q,stats_o/mean,stats_o/std,test/episode
1.0729984,0.5875,1900.0,0.5591666666666667,-0.1569658,37,-1.7251256e-06,0.39663696,1.0274148,1520.0
1.0732704,0.5958333333333333,1950.0,0.5566666666666668,-0.15730898,38,3.757432e-06,0.39663747,1.0276514,1560.0
1.0734597,0.5708333333333333,2000.0,0.5541666666666666,-0.15708862,39,-0.00014928886,0.3965788,1.0275635,1600.0
1.073623,0.5666666666666668,2050.0,0.5575,-0.15680282,40,-2.0238871e-05,0.39651433,1.0275509,1640.0
1.073578,0.5625,2100.0,0.5583333333333333,-0.15710716,41,4.8189064e-05,0.3967383,1.0274515,1680.0
1.0737275,0.525,2150.0,0.5666666666666667,-0.15667923,42,0.00014082898,0.396618,1.027795,1720.0
1.0737606,0.6125,2200.0,0.5766666666666667,-0.15697934,43,-1.0676523e-05,0.39643487,1.0278989,1760.0
1.0737287,0.5499999999999999,2250.0,0.5783333333333333,-0.15713151,44,1.7099741e-05,0.3966253,1.0280421,1800.0
1.0734318,0.5583333333333333,2300.0,0.5766666666666667,-0.1571012,45,1.9069208e-06,0.39657602,1.0276197,1840.0
1.073373,0.5333333333333333,2350.0,0.5666666666666667,-0.1571492,46,-1.6542808e-05,0.3962513,1.0273871,1880.0
1.0734048,0.5750000000000001,2400.0,0.5533333333333333,-0.1569785,47,-1.1215283e-06,0.39615843,1.0272996,1920.0
1.0735489,0.625,2450.0,0.5433333333333333,-0.15679015,48,-3.9295324e-07,0.39657342,1.0272564,1960.0
1.0732727,0.5833333333333334,2500.0,0.5383333333333334,-0.1570515,49,1.5322508e-05,0.3960782,1.0272117,2000.0
1.0731112,0.525,2550.0,0.5483333333333333,-0.15734884,50,-1.3946216e-06,0.39581773,1.0274091,2040.0
1.0732579,0.5458333333333333,2600.0,0.5641666666666666,-0.15764837,51,1.2335682e-06,0.39573172,1.027449,2080.0
1.07329,0.5875,2650.0,0.57,-0.15723713,52,-2.2335487e-06,0.3956932,1.0274523,2120.0
1.0731632,0.5916666666666667,2700.0,0.5716666666666667,-0.15695654,53,4.777407e-05,0.39554027,1.0273407,2160.0
1.0730695,0.5958333333333333,2750.0,0.5733333333333334,-0.15691362,54,2.584512e-07,0.39527383,1.0274403,2200.0
1.073151,0.5499999999999999,2800.0,0.5641666666666666,-0.15735523,55,-1.886161e-06,0.39521065,1.0274402,2240.0
1.0731341,0.5458333333333333,2850.0,0.5591666666666667,-0.15738197,56,-5.3775515e-05,0.39547166,1.0274447,2280.0
1.0730649,0.5750000000000001,2900.0,0.5591666666666667,-0.15741327,57,0.00012987482,0.39564347,1.0273503,2320.0
1.072989,0.5833333333333333,2950.0,0.5616666666666666,-0.1576944,58,1.6724225e-06,0.39576873,1.0272602,2360.0
1.0729648,0.5541666666666666,3000.0,0.5633333333333334,-0.15783703,59,-0.00014870148,0.39588606,1.0272962,2400.0
1.0730118,0.5333333333333333,3050.0,0.5716666666666667,-0.15762044,60,-6.577466e-08,0.39556587,1.0273522,2440.0
1.0729227,0.5833333333333334,3100.0,0.5691666666666667,-0.15762259,61,-1.9884086e-05,0.395599,1.027309,2480.0
1.0729855,0.5166666666666666,3150.0,0.5499999999999999,-0.15746142,62,-7.443968e-05,0.39564955,1.0273896,2520.0
1.0730017,0.6083333333333334,3200.0,0.5391666666666667,-0.15754561,63,-1.2732926e-06,0.39561573,1.0274452,2560.0
1.0729526,0.5875,3250.0,0.5391666666666667,-0.15750177,64,9.874016e-05,0.3953469,1.0273002,2600.0
1.0730717,0.5583333333333333,3300.0,0.5366666666666666,-0.15737672,65,2.6659109e-08,0.3952943,1.0273914,2640.0
1.0729579,0.5583333333333333,3350.0,0.5516666666666666,-0.15754658,66,-1.4468096e-06,0.39558014,1.0273446,2680.0
1.0729558,0.5666666666666668,3400.0,0.5583333333333333,-0.1573906,67,-5.5114506e-06,0.3958008,1.0274357,2720.0
1.0727663,0.5666666666666668,3450.0,0.555,-0.15744565,68,3.5300618e-06,0.39572096,1.0274664,2760.0
1.0727849,0.5125000000000001,3500.0,0.56,-0.15718733,69,1.6418053e-05,0.39587095,1.0275557,2800.0
