stats_g/mean,test/episode,stats_o/std,stats_g/std,test/success_rate,train/episode,epoch,test/mean_Q,stats_o/mean,train/success_rate
-0.16378443,40.0,0.027805978,0.40179244,0.4666666666666666,50.0,0,-8.313899,0.39371264,0.4066666666666667
-0.1602697,80.0,0.021385612,0.3985736,0.3499999999999999,100.0,1,-8.323978,0.3941059,0.4000000000000001
-0.15900895,120.0,0.018534284,0.39740074,0.4375,150.0,2,-8.323253,0.3942372,0.38888888888888884
-0.15778683,160.0,0.016839856,0.3962543,0.3833333333333333,200.0,3,-8.321193,0.39430293,0.3941666666666667
-0.15962973,200.0,0.015684022,0.3979794,0.40416666666666673,250.0,4,-8.329073,0.39434233,0.3916666666666666
-0.15814178,240.0,0.014903284,0.3965882,0.3666666666666667,300.0,5,-8.3303795,0.39436865,0.3975
-0.15752955,280.0,0.014296663,0.3960118,0.4166666666666667,350.0,6,-8.3352165,0.39438745,0.4083333333333334
-0.15789199,320.0,0.013835542,0.39635333,0.4166666666666667,400.0,7,-8.32948,0.39440152,0.39999999999999997
-0.15881667,360.0,0.0134729,0.39722094,0.4958333333333333,450.0,8,-8.323271,0.39441243,0.4008333333333334
-0.15868871,400.0,0.013169449,0.3971012,0.4041666666666666,500.0,9,-8.343076,0.3944211,0.40750000000000003
-0.15915774,440.0,0.012908555,0.39753965,0.4166666666666667,550.0,10,-8.3271,0.39442825,0.41
-0.15902272,480.0,0.012677096,0.39741358,0.3833333333333333,600.0,11,-8.322143,0.3944342,0.4116666666666667
-0.15947483,520.0,0.012473375,0.39783525,0.3958333333333333,650.0,12,-8.322726,0.39443925,0.41333333333333333
-0.15980601,560.0,0.012292505,0.39814338,0.4083333333333334,700.0,13,-8.357228,0.3944436,0.4058333333333333
-0.1600054,600.0,0.01212963,0.39832845,0.3958333333333333,750.0,14,-8.325732,0.39444736,0.39999999999999997
-0.16057432,640.0,0.011980794,0.39885554,0.44166666666666665,800.0,15,-8.330907,0.39445058,0.405
-0.1606277,680.0,0.011846304,0.3989048,0.3833333333333333,850.0,16,-8.340747,0.39445353,0.4033333333333333
-0.15978397,720.0,0.011722084,0.3981228,0.4583333333333333,900.0,17,-8.331148,0.39445606,0.40166666666666667
-0.15900137,760.0,0.011606865,0.3973935,0.42083333333333334,950.0,18,-8.315158,0.3944584,0.4041666666666666
-0.15853369,800.0,0.011501994,0.39695594,0.3833333333333333,1000.0,19,-8.337725,0.39446044,0.4083333333333334
-0.15818568,840.0,0.011414945,0.39662942,0.43333333333333335,1050.0,20,-8.373119,0.39446223,0.4041666666666666
-0.15774976,880.0,0.011355758,0.39621937,0.3958333333333333,1100.0,21,-8.336822,0.39446366,0.4066666666666667
-0.15788914,920.0,0.011306216,0.39635062,0.39166666666666666,1150.0,22,-8.331682,0.39446485,0.4066666666666667
-0.15779775,960.0,0.011263269,0.39626458,0.4083333333333334,1200.0,23,-8.33853,0.39446595,0.4025
-0.15787145,1000.0,0.011223021,0.39633393,0.4000000000000001,1250.0,24,-8.255157,0.39446703,0.4008333333333334
-0.15800019,1040.0,0.011184235,0.39645514,0.38333333333333336,1300.0,25,-8.334874,0.39446798,0.41583333333333333
-0.1579246,1080.0,0.011148212,0.39638397,0.3666666666666667,1350.0,26,-8.306056,0.39446887,0.43166666666666664
-0.15759145,1120.0,0.011112612,0.39607012,0.42083333333333334,1400.0,27,-8.315935,0.39446974,0.43416666666666665
-0.15737192,1160.0,0.011072318,0.39586294,0.3791666666666667,1450.0,28,-8.328205,0.39447054,0.4466666666666667
-0.1574388,1200.0,0.011035729,0.3959261,0.4083333333333334,1500.0,29,-8.331969,0.3944713,0.44250000000000006
-0.1578152,1240.0,0.010997248,0.3962809,0.4166666666666667,1550.0,30,-8.369856,0.39447203,0.42250000000000004
-0.15778188,1280.0,0.010961816,0.39624953,0.3916666666666666,1600.0,31,-8.332319,0.39447272,0.4175
-0.15800558,1320.0,0.010929068,0.39646003,0.4458333333333333,1650.0,32,-8.3341675,0.39447334,0.40166666666666667
-0.15819292,1360.0,0.010897193,0.39663604,0.3791666666666667,1700.0,33,-8.332974,0.39447388,0.38083333333333336
-0.15843719,1400.0,0.010865976,0.39686528,0.4000000000000001,1750.0,34,-8.32089,0.39447436,0.385
-0.1580981,1440.0,0.010837444,0.396547,0.35833333333333334,1800.0,35,-8.334064,0.39447486,0.3866666666666667
-0.15789817,1480.0,0.010810134,0.39635897,0.37083333333333335,1850.0,36,-8.331541,0.3944753,0.3908333333333333
-0.15793024,1520.0,0.010783866,0.3963891,0.42083333333333334,1900.0,37,-8.341853,0.39447573,0.39749999999999996
-0.15788645,1560.0,0.010757479,0.39634788,0.42916666666666664,1950.0,38,-8.332532,0.39447615,0.4025
