train/episode,stats_g/mean,epoch,stats_o/std,train/success_rate,stats_g/std,test/episode,test/mean_Q,stats_o/mean,test/success_rate
50.0,-0.16378443,0,0.027805978,0.5533333333333333,0.40179244,40.0,-0.0015327629,0.39371264,0.6083333333333333
100.0,-0.1602697,1,0.021385612,0.5483333333333333,0.3985736,80.0,-0.00063713855,0.3941059,0.5333333333333333
150.0,-0.15900895,2,0.018534284,0.5455555555555556,0.39740074,120.0,-6.443214e-05,0.3942372,0.6375000000000001
200.0,-0.15778683,3,0.016839856,0.5525000000000001,0.3962543,160.0,0.0007480678,0.39430293,0.5375
250.0,-0.15962973,4,0.015684022,0.5608333333333333,0.3979794,200.0,0.00095878384,0.39434233,0.6041666666666666
300.0,-0.15814178,5,0.014903284,0.5658333333333333,0.3965882,240.0,0.00082039525,0.39436865,0.5416666666666667
350.0,-0.15752955,6,0.014296663,0.5733333333333334,0.3960118,280.0,0.00027209515,0.39438745,0.5875
